full_code,soc_4,soc_sub,title,description
1111/01,1111,01,Chairpersons,Chairpersons are the presiding officer of an organised group such as a board or committee and are typically elected or appointed by members of the group. They preside over meetings of the group and conduct the group's business in an orderly fashion.
1111/02,1111,02,Chief executives,"Chief executive officers are responsible for the management of the operations of a company as well as setting its overall vision. The role involves decision making affecting the future of a company and its employees. A CEO is expected to oversee all operations including product development, logistics and marketing, and will also be expected to develop, approve and communicate strategies."
1111/03,1111,03,Diplomats and foreign office officials ,Diplomats and foreign office officials represent their home nation and government in international organisations. They negotiate with officials to ensure the home nation's interests are protected and facilitate productive and friendly communication between the home nation and the international organisation. 
1111/04,1111,04,Senior public service officials ,"Senior public service officials perform a high public role in the government. They are responsible for the policy work of their team, oversee directors and work closely with their department’s ministers. "
1111/99,1111,99,Chief executives and senior officials n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1111: Chief executives and senior officials
1112/01,1112,01,Assembly members and Members of Parliament,"Assembly members and Members of Parliament represent their political parties or individual constituency’s interests in parliaments. They perform legislative duties, developing and proposing new laws, and communicate with government officials to assess current issues and government operations. "
1112/02,1112,02,Councillors,"Councillors are directly elected to represent the people and need to consider the interests of their local electorate. Council members have complex roles and must act in a number of capacities: as committee member, constituency representative and party activist"
1112/99,1112,99,Elected officers and representatives n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1112: Elected officers and representatives
1121/00,1121,00,Production managers and directors in manufacturing,"Production managers and directors in manufacturing plan, organise, direct and co-ordinate the activities and resources necessary for production in manufacturing industries including the maintenance of engineering items, equipment and machinery."
1122/00,1122,00,Production managers and directors in construction,"Production managers and directors in construction direct and co-ordinate resources for the construction and maintenance of civil and structural engineering works including houses, flats, factories, roads and runways, bridges, tunnels and railway works, harbour, dock and marine works and water supply, drainage and sewage works."
1123/01,1123,01,Managers and directors in the extraction of fossil fuels,"Managers and directors in the extraction of fossil fuels coordinate and implement mine production schedules and plans, such as drilling, blasting, ore and mineral extraction, and waste management."
1123/02,1123,02,Managers and directors in the production of energy,"Managers and directors in the production of energy supervise the operations of a power plant and monitor workers to ensure electricity is provided to homes and businesses. They check that all equipment in the facility is up-to-date and performs to government and industry standards.
"
1123/99,1123,99,Production managers and directors in mining and energy n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1123: Production managers and directors in mining and energy 
1131/01,1131,01,"Bank, building society and post office managers","Bank, building society and post office managers oversee the operations of banking, building society and postal services. They may be responsible for market assessment, forecasts, setting financial goals and achieving business objectives"
1131/02,1131,02,Company secretaries and finance managers and directors,"Company secretaries and finance managers and directors handle the finance and investments of a company including assets, liabilities, equity and cash flow. They maintain the financial health of the company, operative viably and the company's statutory books."
1131/03,1131,03,Investment bankers and directors,"Investment bankers and directors are investment professionals that offer strategic advice on financial services to companies and other institutions. They ensure that legal regulations are being followed by their clients and provide technical expertise and information on a range of matters including, mergers and acquisitions, bonds and shares, privatisations and reorganisation, raising capital and security underwriting, including equity and debt markets."
1131/99,1131,99,Financial managers and directors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1131: Financial managers and directors
1132/01,1132,01,Advertising and marketing directors,"Advertising and marketing directors are responsible for their company’s advertising and marketing strategies, as well as overall branding and image. They prepare annual plans, create a calendar of campaigns and events, set the marketing budget and analyse the market and competitors."
1132/02,1132,02,Sales directors,"Sales directors are responsible for overseeing all sales operations for an organisation or business. They're responsible for designing plans to meet targets, develop relationships with clients/customers, and evaluate costs for selling products and services."
1132/99,1132,99,"Marketing, sales and advertising directors n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 1132: Marketing, sales and advertising directors "
1133/00,1133,00,Public relations and communications directors,"Public relations and communications directors plan, organise, direct and co-ordinate the public relations, communications and public information activities of an organisation or on behalf of clients."
1134/01,1134,01,Estimating managers and directors,"Estimating managers and directors oversee the provision of estimates for costs and time frames for project milestones to project completion. They collect information from involved parties, generate accurate estimates, and communicate this information with relevant individuals and teams. Typically, they work on build projects for construction and engineering firms."
1134/02,1134,02,Procurement and purchasing managers and directors,"Procurement and purchasing managers and directors oversee the buying of goods, equipment and services for their company, and negotiate the most competitive prices. "
1134/99,1134,99,Purchasing managers and directors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1134: Purchasing managers and directors 
1135/00,1135,00,Charitable organisation managers and directors,"Charitable organisation managers and directors plan, organise, co-ordinate and direct the activities of organisations in the charitable and not-for-profit sector."
1136/01,1136,01,Employee relations managers,"Employee relations managers design, plan, and implement a company's employee relations programmes, policies, and procedures. They guide department managers and employees throughout the performance management and goal setting process. "
